date,residential_water_demand_m3
2011-01-01,4025377.4
2011-02-01,3508479.7
2011-03-01,3366596.7
2011-04-01,3281142.0
2011-05-01,3449296.2
2011-06-01,2852221.3
2011-07-01,2553839.7
2011-08-01,2561198.3
2011-09-01,2454488.2
2011-10-01,3164959.7
2011-11-01,3478804.1
2011-12-01,3779646.1
2012-01-01,3199403.8
2012-02-01,4108239.3
2012-03-01,4130273.1
2012-04-01,3491010.0
2012-05-01,3517728.5
2012-06-01,2781686.3
2012-07-01,2128206.2
2012-08-01,2204283.5
2012-09-01,1930072.0
2012-10-01,3011583.2
2012-11-01,3077860.5
2012-12-01,3582256.0
2013-01-01,3822775.2
2013-02-01,3426113.2
2013-03-01,3962992.7
2013-04-01,3664190.8
2013-05-01,3599799.5
2013-06-01,3143621.3
2013-07-01,2669087.6
2013-08-01,2446850.0
2013-09-01,2582219.3
2013-10-01,3539668.0
2013-11-01,3388351.4
2013-12-01,3610067.7
2014-01-01,3752960.5
2014-02-01,3573518.2
2014-03-01,3718096.2
2014-04-01,3939973.8
2014-05-01,3371594.9
2014-06-01,2847653.1
2014-07-01,2678507.7
2014-08-01,2730299.8
2014-09-01,2546731.7
2014-10-01,3346546.3
2014-11-01,3195046.9
2014-12-01,4073161.0
2015-01-01,4045602.4
2015-02-01,3609542.2
2015-03-01,4086005.5
2015-04-01,3818208.9
2015-05-01,3880915.2
2015-06-01,3259847.5
2015-07-01,3004164.6
2015-08-01,3116229.8
2015-09-01,2615878.4
2015-10-01,3423753.9
2015-11-01,3641488.4
2015-12-01,3751549.4
2016-01-01,3990089.8
2016-02-01,3786273.0
2016-03-01,4125365.6
2016-04-01,3881919.6
2016-05-01,4163625.6
2016-06-01,3193854.6
2016-07-01,2992556.5
2016-08-01,2995762.4
2016-09-01,3148479.3
2016-10-01,3731193.4
2016-11-01,4125599.9
2016-12-01,3662933.4
2017-01-01,4107061.4
2017-02-01,3858090.6
2017-03-01,4141325.0
2017-04-01,4003817.8
2017-05-01,3896865.9
2017-06-01,3140934.9
2017-07-01,3254941.2
2017-08-01,2989690.2
2017-09-01,2798315.7
2017-10-01,3890176.9
2017-11-01,3761866.5
2017-12-01,4115402.2
2018-01-01,4340075.6
2018-02-01,4046696.2
2018-03-01,3933108.2
2018-04-01,3971001.8
2018-05-01,4086891.0
2018-06-01,3432172.5
2018-07-01,3020373.6
2018-08-01,3212726.0
2018-09-01,2616837.9
2018-10-01,3487743.5
2018-11-01,3741101.9
2018-12-01,4392625.0
2019-01-01,4211519.3
2019-02-01,4121355.4
2019-03-01,4374167.8
2019-04-01,4235456.5
2019-05-01,4215088.9
2019-06-01,3302845.5
2019-07-01,3080795.2
2019-08-01,3054449.5
2019-09-01,2956695.8
2019-10-01,3817270.9
2019-11-01,3963235.0
2019-12-01,4617493.9
2020-01-01,4963795.3
2020-02-01,4708004.5
2020-03-01,4280631.8
2020-04-01,4360129.5
2020-05-01,4389288.5
2020-06-01,3606391.7
2020-07-01,2771956.1
2020-08-01,2847276.4
2020-09-01,2827294.9
2020-10-01,3837959.4
2020-11-01,3875503.3
2020-12-01,4129264.2
2021-01-01,4694841.4
2021-02-01,4685352.6
2021-03-01,4781248.7
2021-04-01,4158190.3
2021-05-01,4587112.0
2021-06-01,3803582.0
2021-07-01,3441004.1
2021-08-01,3442147.4
2021-09-01,3417316.9
2021-10-01,3837893.1
2021-11-01,4038080.3
2021-12-01,4637230.2
2022-01-01,4788266.5
2022-02-01,4503060.3
2022-03-01,5145259.2
2022-04-01,5348631.4
2022-05-01,4620021.2
2022-06-01,3209449.7
2022-07-01,3387505.1
2022-08-01,3565726.2
2022-09-01,3408548.9
2022-10-01,4144652.4
2022-11-01,4580925.0
2022-12-01,4940229.9
2023-01-01,5487536.0
2023-02-01,4980403.5
2023-03-01,4723480.8
2023-04-01,4600311.0
2023-05-01,5038929.3
2023-06-01,3683790.8
2023-07-01,3152878.3
2023-08-01,2894830.8
2023-09-01,2705861.8
2023-10-01,3577708.8
2023-11-01,4102811.6
2023-12-01,4376869.9
2024-01-01,4478429.1
2024-02-01,4101379.9
2024-03-01,4211301.9
2024-04-01,4694510.1
2024-05-01,4362263.8
2024-06-01,3776389.5
2024-07-01,3664888.0
2024-08-01,3389732.1
2024-09-01,3238880.9
2024-10-01,4567602.5
2024-11-01,4961337.6
2024-12-01,4717135.0
