date,area_id,rainfall_mm,temp_max_c,temp_min_c,humidity_max_pct,humidity_min_pct,wind_speed_kmh,solar_radiation_mj_m2,sunshine_hours,total_population,urban_population,total_households,reservoir_level_m,canal_discharge_cumecs,groundwater_level_m_bgl,residential_water_demand_m3
2010-01-01,DNH_total,70.94,35.77,22.32,78.4,56.3,5.0,450.61,215.8,865379,249915,175594,34.47,8.0,8.22,3395717.5
2010-02-01,DNH_total,81.23,37.21,23.91,81.4,55.1,3.81,456.12,211.2,865220,250342,175013,34.1,8.0,8.38,3192704.7
2010-03-01,DNH_total,69.74,33.45,24.99,78.3,56.9,6.24,395.74,191.5,870094,251786,175499,33.59,8.0,8.59,3359635.5
2010-04-01,DNH_total,90.89,31.3,19.08,81.7,54.6,4.62,345.84,195.6,866809,252714,174868,33.33,8.0,8.72,3066705.6
2010-05-01,DNH_total,84.9,29.15,18.32,81.3,54.4,5.46,375.3,212.9,871478,255282,175943,33.0,8.0,8.86,3406217.3
2010-06-01,DNH_total,236.72,27.6,16.56,96.0,65.9,6.57,287.36,142.1,874349,256115,176952,33.63,7.786,8.85,2447053.5
2010-07-01,DNH_total,235.52,25.35,14.01,95.8,63.2,6.67,348.51,131.6,876577,257194,177070,34.1,8.0,8.82,2570558.1
2010-08-01,DNH_total,292.33,26.64,15.86,96.7,61.5,6.31,302.07,139.8,879381,259592,177164,34.94,7.888,8.73,2286196.0
2010-09-01,DNH_total,219.51,30.47,18.04,98.2,64.5,7.53,299.51,125.2,880510,259505,178355,35.36,7.769,8.76,2270624.0
2010-10-01,DNH_total,102.74,34.93,17.62,78.7,53.1,6.95,330.62,204.4,882973,262044,178371,34.91,8.0,8.92,3355649.6
2010-11-01,DNH_total,63.49,34.63,23.68,84.0,60.8,2.8,354.82,212.5,882614,262980,178075,34.37,7.948,9.06,3229182.4
2010-12-01,DNH_total,74.19,34.24,23.18,82.1,55.3,3.49,351.94,206.7,885219,264648,178496,33.84,8.0,9.22,3548910.0
2011-01-01,DNH_total,76.24,36.26,25.97,79.0,52.6,9.19,371.34,198.7,885532,263840,178344,33.29,8.0,9.38,4025377.4
2011-02-01,DNH_total,78.03,37.33,24.23,79.7,54.9,5.32,444.55,201.8,885202,266009,179269,32.9,7.263,9.51,3508479.7
2011-03-01,DNH_total,57.89,37.16,22.32,79.8,55.6,5.38,430.38,221.4,892819,267146,180384,32.45,7.719,9.61,3366596.7
2011-04-01,DNH_total,103.03,32.37,17.55,77.3,58.3,5.43,405.45,225.6,894652,269383,180494,32.34,7.816,9.69,3281142.0
2011-05-01,DNH_total,92.25,31.29,17.21,80.0,54.7,6.14,504.63,211.7,890362,269417,179174,32.12,7.187,9.75,3449296.2
2011-06-01,DNH_total,272.73,26.85,14.1,93.2,64.3,7.25,233.64,144.6,896151,270426,180884,32.86,8.0,9.73,2852221.3
2011-07-01,DNH_total,275.49,29.08,18.67,94.7,63.6,7.46,302.28,133.2,899478,272814,180910,33.63,8.0,9.65,2553839.7
