model,split,cluster,regime_name,count,bias,mae,rmse
ANN,test,0,higher-demand stable months,25,-136424.58405582453,376671.640290967,447217.08058165817
ANN,test,1,lower-demand variable months,11,-264694.6673944679,374004.20186938706,459451.1641533607
ANN,validation,0,higher-demand stable months,16,-33329.00754560181,220794.2412105396,282244.5841738814
ANN,validation,1,lower-demand variable months,8,-114554.67918532423,240445.08497403038,289832.93182848574
LSTM,test,0,higher-demand stable months,25,265890.064,443552.576,540432.490429715
LSTM,test,1,lower-demand variable months,11,-81543.26363636371,316958.46363636374,384490.42594013026
LSTM,validation,0,higher-demand stable months,16,119232.50624999998,257489.86875000002,291168.4632683318
LSTM,validation,1,lower-demand variable months,8,-55321.05000000005,251729.25,284861.5663241665
Random Forest,test,0,higher-demand stable months,25,440255.3126713356,535584.3590733984,625296.9777443631
Random Forest,test,1,lower-demand variable months,11,-52505.56062272424,374447.4891994947,478155.3341074046
Random Forest,validation,0,higher-demand stable months,16,230144.39361976268,298725.13179729093,368102.15921487997
Random Forest,validation,1,lower-demand variable months,8,41688.05587222247,260907.84700694267,293815.3151216261
Seasonal naive,test,0,higher-demand stable months,25,435733.15599999996,477082.0519999999,579486.133096494
Seasonal naive,test,1,lower-demand variable months,11,217008.07272727272,335192.58181818185,378134.9996704881
Seasonal naive,validation,0,higher-demand stable months,16,226020.10624999995,319365.55625,389023.3896288026
Seasonal naive,validation,1,lower-demand variable months,8,75553.1875,236906.46250000002,284633.9922178898
