date,validation,test
2020-01-01,599260.6035430068,
2020-02-01,298861.7968812715,
2020-03-01,-192017.99415852688,
2020-04-01,-140029.25540514104,
2020-05-01,-108433.92702896241,
2020-06-01,-79143.06517540291,
2020-07-01,-633124.8055919656,
2020-08-01,-196561.61504006758,
2020-09-01,-201752.0158074312,
2020-10-01,204707.26355985366,
2020-11-01,-244660.87446634844,
2020-12-01,-408491.9065507483,
2021-01-01,102873.2269919021,
2021-02-01,104894.8355663605,
2021-03-01,205603.8644481087,
2021-04-01,-631384.7015192816,
2021-05-01,188227.54188885354,
2021-06-01,-88381.03570682416,
2021-07-01,-78202.5959706679,
2021-08-01,111758.31974345958,
2021-09-01,187096.0398515109,
2021-10-01,-310358.0242272862,
2021-11-01,-138510.8235255587,
2021-12-01,-1932.4065123368055,
2022-01-01,,343684.3753855061
2022-02-01,,-462278.0350084277
2022-03-01,,477254.8303859094
2022-04-01,,605036.3798408238
2022-05-01,,-100007.0440183729
2022-06-01,,-917071.1186843705
2022-07-01,,-177689.62951388676
2022-08-01,,-2814.5522698140703
2022-09-01,,-98229.60298432922
2022-10-01,,190079.67072074162
2022-11-01,,244021.0969992252
2022-12-01,,-147263.67869829107
2023-01-01,,534195.2862862935
2023-02-01,,-5879.491508625448
2023-03-01,,-428627.0661490476
2023-04-01,,-542732.7339637494
2023-05-01,,389318.1776305903
2023-06-01,,-200490.78162282333
2023-07-01,,-459202.1336983177
2023-08-01,,-905355.0069680898
2023-09-01,,-672865.5264448347
2023-10-01,,-237446.9588009715
2023-11-01,,-43835.71413863776
2023-12-01,,-647769.929753473
2024-01-01,,-243187.39314363897
2024-02-01,,-914412.6654091668
2024-03-01,,-582837.5410118653
2024-04-01,,-33968.97365943622
2024-05-01,,-350983.0015225811
2024-06-01,,-156927.9809466619
2024-07-01,,-241583.09837463917
2024-08-01,,-674468.7085568798
2024-09-01,,-284771.66171407886
2024-10-01,,411122.7688913131
2024-11-01,,409578.0564109329
2024-12-01,,-393846.5567210857
