date,validation,test
2020-01-01,568952.7999999998,
2020-02-01,332873.5,
2020-03-01,-64514.700000000186,
2020-04-01,88283.0,
2020-05-01,335068.25,
2020-06-01,-203005.5499999998,
2020-07-01,-474193.1499999999,
2020-08-01,-179164.1000000001,
2020-09-01,-383135.1000000001,
2020-10-01,174789.6499999999,
2020-11-01,-144891.7000000002,
2020-12-01,-160540.2999999998,
2021-01-01,330214.9000000004,
2021-02-01,332194.0999999996,
2021-03-01,383322.7000000002,
2021-04-01,-169037.7000000002,
2021-05-01,288712.5,
2021-06-01,-323080.75,
2021-07-01,-191708.8999999999,
2021-08-01,392470.3999999999,
2021-09-01,120082.6499999999,
2021-10-01,98290.1000000001,
2021-11-01,-40988.200000000186,
2021-12-01,354157.2000000002,
2022-01-01,,445280.0
2022-02-01,,189303.2999999998
2022-03-01,,792622.2000000002
2022-04-01,,1029366.4000000004
2022-05-01,,403658.2000000002
2022-06-01,,-825405.2999999998
2022-07-01,,-110646.6499999999
2022-08-01,,472726.7000000002
2022-09-01,,-30793.600000000093
2022-10-01,,181091.8999999999
2022-11-01,,399274.75
2022-12-01,,609914.9000000004
2023-01-01,,1102886.0
2023-02-01,,598922.5
2023-03-01,,384088.7999999998
2023-04-01,,279406.5
2023-05-01,,935736.7999999998
2023-06-01,,-189494.7000000002
2023-07-01,,-358702.4500000002
2023-08-01,,-138408.4500000002
2023-09-01,,-651525.4500000002
2023-10-01,,-162515.4500000002
2023-11-01,,70042.3500000001
2023-12-01,,81999.90000000037
2024-01-01,,96270.09999999963
2024-02-01,,-280551.1000000001
2024-03-01,,-210090.09999999963
2024-04-01,,294904.5999999996
2024-05-01,,-1159.7000000001863
2024-06-01,,-516274.5
2024-07-01,,-197806.0
2024-08-01,,-177275.8999999999
2024-09-01,,-561891.6000000001
2024-10-01,,640965.0
2024-11-01,,788432.5999999996
2024-12-01,,365923.0
