model,forecast_origin,target_month,horizon_step,forecast_m3,actual_m3
Random Forest,2022-01-01,2022-01-01,1,4183814.5976666664,4788266.5
Random Forest,2022-01-01,2022-02-01,2,4260978.407141666,4503060.3
Random Forest,2022-01-01,2022-03-01,3,4177626.3542083343,5145259.2
ANN,2022-01-01,2022-01-01,1,4444582.124614491,4788266.5
ANN,2022-01-01,2022-02-01,2,4969734.420168908,4503060.3
ANN,2022-01-01,2022-03-01,3,4624858.773750128,5145259.2
Seasonal naive,2022-01-01,2022-01-01,1,4694841.4,4788266.5
Seasonal naive,2022-01-01,2022-02-01,2,4685352.6,4503060.3
Seasonal naive,2022-01-01,2022-03-01,3,4781248.7,5145259.2
LSTM,2022-01-01,2022-01-01,1,4313757.0,4788266.5
LSTM,2022-01-01,2022-02-01,2,4337117.5,4503060.3
LSTM,2022-01-01,2022-03-01,3,4304037.0,5145259.2
