model,horizon_step,forecast_m3,actual_m3,absolute_error
ANN,1,4444582.124614491,4788266.5,343684.3753855089
ANN,2,4969734.420168908,4503060.3,466674.1201689085
ANN,3,4624858.773750128,5145259.2,520400.42624987196
LSTM,1,4313757.0,4788266.5,474509.5
LSTM,2,4337117.5,4503060.3,165942.7999999998
LSTM,3,4304037.0,5145259.2,841222.2000000002
Random Forest,1,4183814.5976666654,4788266.5,604451.9023333346
Random Forest,2,4260978.407141666,4503060.3,242081.8928583339
Random Forest,3,4177626.3542083343,5145259.2,967632.8457916658
Seasonal naive,1,4694841.4,4788266.5,93425.09999999963
Seasonal naive,2,4685352.6,4503060.3,182292.2999999998
Seasonal naive,3,4781248.7,5145259.2,364010.5
