model,split,date,month,residual,absolute_error,error_rank
ANN,test,2022-06-01,6,-917071.1186843701,917071.1186843701,1
ANN,test,2024-02-01,2,-914412.6654091668,914412.6654091668,2
ANN,test,2023-08-01,8,-905355.0069680898,905355.0069680898,3
ANN,validation,2020-07-01,7,-633124.8055919656,633124.8055919656,1
ANN,validation,2021-04-01,4,-631384.7015192816,631384.7015192816,2
ANN,validation,2020-01-01,1,599260.6035430068,599260.6035430068,3
LSTM,test,2023-01-01,1,1102886.0,1102886.0,1
LSTM,test,2022-04-01,4,1029366.4000000004,1029366.4000000004,2
LSTM,test,2023-05-01,5,935736.7999999998,935736.7999999998,3
LSTM,validation,2020-01-01,1,568952.7999999998,568952.7999999998,1
LSTM,validation,2020-07-01,7,-474193.1000000001,474193.1000000001,2
LSTM,validation,2021-08-01,8,392470.3999999999,392470.3999999999,3
Random Forest,test,2023-01-01,1,1239251.843944449,1239251.843944449,1
Random Forest,test,2022-04-01,4,1134984.297777786,1134984.297777786,2
Random Forest,test,2024-10-01,10,980064.659977783,980064.659977783,3
Random Forest,validation,2020-01-01,1,749287.123865623,749287.123865623,1
Random Forest,validation,2021-03-01,3,644152.2856666683,644152.2856666683,2
Random Forest,validation,2020-02-01,2,510501.6990000056,510501.6990000056,3
Seasonal naive,test,2023-01-01,1,1276016.7000000002,1276016.7000000002,1
Seasonal naive,test,2022-04-01,4,1113174.9000000004,1113174.9000000004,2
Seasonal naive,test,2024-11-01,11,998102.5999999996,998102.5999999996,3
Seasonal naive,validation,2020-01-01,1,752276.0,752276.0,1
Seasonal naive,validation,2020-02-01,2,586649.1000000001,586649.1000000001,2
Seasonal naive,validation,2021-02-01,2,563997.1999999997,563997.1999999997,3
