model,split,date,month,residual,absolute_error
Seasonal naive,validation,2020-01-01,1,752276.0,752276.0
Seasonal naive,validation,2020-02-01,2,586649.1000000001,586649.1000000001
Seasonal naive,validation,2020-03-01,3,-93536.0,93536.0
Seasonal naive,validation,2020-04-01,4,124673.0,124673.0
Seasonal naive,validation,2020-05-01,5,174199.59999999963,174199.59999999963
Seasonal naive,validation,2020-06-01,6,303546.2000000002,303546.2000000002
Seasonal naive,validation,2020-07-01,7,-308839.1000000001,308839.1000000001
Seasonal naive,validation,2020-08-01,8,-207173.1000000001,207173.1000000001
Seasonal naive,validation,2020-09-01,9,-129400.8999999999,129400.8999999999
Seasonal naive,validation,2020-10-01,10,20688.5,20688.5
Seasonal naive,validation,2020-11-01,11,-87731.70000000019,87731.70000000019
Seasonal naive,validation,2020-12-01,12,-488229.7000000002,488229.7000000002
Seasonal naive,validation,2021-01-01,1,483322.10000000056,483322.10000000056
Seasonal naive,validation,2021-02-01,2,563997.1999999997,563997.1999999997
Seasonal naive,validation,2021-03-01,3,407080.9000000004,407080.9000000004
Seasonal naive,validation,2021-04-01,4,-77266.20000000019,77266.20000000019
Seasonal naive,validation,2021-05-01,5,372023.0999999996,372023.0999999996
Seasonal naive,validation,2021-06-01,6,500736.5,500736.5
Seasonal naive,validation,2021-07-01,7,360208.8999999999,360208.8999999999
Seasonal naive,validation,2021-08-01,8,387697.8999999999,387697.8999999999
Seasonal naive,validation,2021-09-01,9,460621.1000000001,460621.1000000001
Seasonal naive,validation,2021-10-01,10,20622.200000000186,20622.200000000186
Seasonal naive,validation,2021-11-01,11,74845.29999999981,74845.29999999981
Seasonal naive,validation,2021-12-01,12,19736.299999999814,19736.299999999814
Seasonal naive,test,2022-01-01,1,576747.2000000002,576747.2000000002
Seasonal naive,test,2022-02-01,2,381704.8999999999,381704.8999999999
Seasonal naive,test,2022-03-01,3,771091.4000000004,771091.4000000004
Seasonal naive,test,2022-04-01,4,1113174.9000000004,1113174.9000000004
Seasonal naive,test,2022-05-01,5,404932.2999999998,404932.2999999998
Seasonal naive,test,2022-06-01,6,-93395.79999999981,93395.79999999981
Seasonal naive,test,2022-07-01,7,306709.8999999999,306709.8999999999
Seasonal naive,test,2022-08-01,8,511276.7000000002,511276.7000000002
Seasonal naive,test,2022-09-01,9,451853.1000000001,451853.1000000001
Seasonal naive,test,2022-10-01,10,327381.5,327381.5
Seasonal naive,test,2022-11-01,11,617690.0,617690.0
Seasonal naive,test,2022-12-01,12,322736.0,322736.0
Seasonal naive,test,2023-01-01,1,1276016.7000000002,1276016.7000000002
Seasonal naive,test,2023-02-01,2,859048.1000000001,859048.1000000001
Seasonal naive,test,2023-03-01,3,349313.0,349313.0
Seasonal naive,test,2023-04-01,4,364854.5,364854.5
Seasonal naive,test,2023-05-01,5,823840.3999999994,823840.3999999994
Seasonal naive,test,2023-06-01,6,380945.2999999998,380945.2999999998
Seasonal naive,test,2023-07-01,7,72083.09999999963,72083.09999999963
Seasonal naive,test,2023-08-01,8,-159618.7000000002,159618.7000000002
Seasonal naive,test,2023-09-01,9,-250834.0,250834.0
Seasonal naive,test,2023-10-01,10,-239562.1000000001,239562.1000000001
Seasonal naive,test,2023-11-01,11,139576.6000000001,139576.6000000001
Seasonal naive,test,2023-12-01,12,-240624.0,240624.0
Seasonal naive,test,2024-01-01,1,266909.7999999998,266909.7999999998
Seasonal naive,test,2024-02-01,2,-19975.5,19975.5
Seasonal naive,test,2024-03-01,3,-162865.89999999944,162865.89999999944
Seasonal naive,test,2024-04-01,4,459053.5999999996,459053.5999999996
Seasonal naive,test,2024-05-01,5,147174.89999999944,147174.89999999944
Seasonal naive,test,2024-06-01,6,473544.0,473544.0
Seasonal naive,test,2024-07-01,7,584092.7999999998,584092.7999999998
Seasonal naive,test,2024-08-01,8,335282.6000000001,335282.6000000001
Seasonal naive,test,2024-09-01,9,282185.1000000001,282185.1000000001
Seasonal naive,test,2024-10-01,10,750331.6000000001,750331.6000000001
Seasonal naive,test,2024-11-01,11,998102.5999999996,998102.5999999996
Seasonal naive,test,2024-12-01,12,99641.09999999963,99641.09999999963
Random Forest,validation,2020-01-01,1,749287.123865623,749287.123865623
Random Forest,validation,2020-02-01,2,510501.6990000056,510501.6990000056
Random Forest,validation,2020-03-01,3,20525.03833333589,20525.03833333589
Random Forest,validation,2020-04-01,4,165057.18388889264,165057.18388889264
Random Forest,validation,2020-05-01,5,196090.2073333389,196090.2073333389
Random Forest,validation,2020-06-01,6,281243.1267777751,281243.1267777751
Random Forest,validation,2020-07-01,7,-338083.07783333445,338083.07783333445
Random Forest,validation,2020-08-01,8,-205796.7315000021,205796.7315000021
Random Forest,validation,2020-09-01,9,-159531.30083333375,159531.30083333375
Random Forest,validation,2020-10-01,10,-54280.883388883434,54280.883388883434
Random Forest,validation,2020-11-01,11,-242791.96806745837,242791.96806745837
Random Forest,validation,2020-12-01,12,-119272.65191666596,119272.65191666596
Random Forest,validation,2021-01-01,1,441265.5498690503,441265.5498690503
Random Forest,validation,2021-02-01,2,411820.0109464312,411820.0109464312
Random Forest,validation,2021-03-01,3,644152.2856666683,644152.2856666683
Random Forest,validation,2021-04-01,4,-22792.89966666326,22792.89966666326
Random Forest,validation,2021-05-01,5,425923.15312500065,425923.15312500065
Random Forest,validation,2021-06-01,6,-130238.83873610618,130238.83873610618
Random Forest,validation,2021-07-01,7,375657.13116666395,375657.13116666395
Random Forest,validation,2021-08-01,8,386847.7333166641,386847.7333166641
Random Forest,validation,2021-09-01,9,447878.7470333325,447878.7470333325
Random Forest,validation,2021-10-01,10,-119187.17098332709,119187.17098332709
Random Forest,validation,2021-11-01,11,-33549.54703333229,33549.54703333229
Random Forest,validation,2021-12-01,12,385090.8245303072,385090.8245303072
Random Forest,test,2022-01-01,1,604451.9023333346,604451.9023333346
Random Forest,test,2022-02-01,2,240063.1797333341,240063.1797333341
Random Forest,test,2022-03-01,3,968419.2173333336,968419.2173333336
Random Forest,test,2022-04-01,4,1134984.297777786,1134984.297777786
Random Forest,test,2022-05-01,5,473625.90233333455,473625.90233333455
Random Forest,test,2022-06-01,6,-764799.5843333299,764799.5843333299
Random Forest,test,2022-07-01,7,-129555.94713888643,129555.94713888643
Random Forest,test,2022-08-01,8,22962.28100000508,22962.28100000508
Random Forest,test,2022-09-01,9,-88997.54938888457,88997.54938888457
Random Forest,test,2022-10-01,10,228395.069227783,228395.069227783
Random Forest,test,2022-11-01,11,586606.8219940504,586606.8219940504
Random Forest,test,2022-12-01,12,708516.2352380995,708516.2352380995
Random Forest,test,2023-01-01,1,1239251.843944449,1239251.843944449
Random Forest,test,2023-02-01,2,766461.7070000032,766461.7070000032
Random Forest,test,2023-03-01,3,558767.0708888918,558767.0708888918
Random Forest,test,2023-04-01,4,360140.37427778076,360140.37427778076
Random Forest,test,2023-05-01,5,883266.809888891,883266.809888891
Random Forest,test,2023-06-01,6,526628.5729999994,526628.5729999994
Random Forest,test,2023-07-01,7,-313562.33199999854,313562.33199999854
Random Forest,test,2023-08-01,8,-735171.984688885,735171.984688885
Random Forest,test,2023-09-01,9,-772068.2856666646,772068.2856666646
Random Forest,test,2023-10-01,10,-308885.67513888516,308885.67513888516
Random Forest,test,2023-11-01,11,62017.69083333528,62017.69083333528
Random Forest,test,2023-12-01,12,185563.10474920925,185563.10474920925
Random Forest,test,2024-01-01,1,303598.7780000004,303598.7780000004
Random Forest,test,2024-02-01,2,-184022.5754841254,184022.5754841254
Random Forest,test,2024-03-01,3,-25959.143208330497,25959.143208330497
Random Forest,test,2024-04-01,4,426237.96570833586,426237.96570833586
Random Forest,test,2024-05-01,5,174140.52866666857,174140.52866666857
Random Forest,test,2024-06-01,6,-216831.77699999884,216831.77699999884
Random Forest,test,2024-07-01,7,492553.3613333339,492553.3613333339
Random Forest,test,2024-08-01,8,243790.93979999702,243790.93979999702
Random Forest,test,2024-09-01,9,295467.6571666696,295467.6571666696
Random Forest,test,2024-10-01,10,980064.659977783,980064.659977783
Random Forest,test,2024-11-01,11,912976.1961083356,912976.1961083356
Random Forest,test,2024-12-01,12,589724.3356666681,589724.3356666681
ANN,validation,2020-01-01,1,599260.6035430068,599260.6035430068
ANN,validation,2020-02-01,2,298861.7968812715,298861.7968812715
ANN,validation,2020-03-01,3,-192017.99415852688,192017.99415852688
ANN,validation,2020-04-01,4,-140029.25540514104,140029.25540514104
ANN,validation,2020-05-01,5,-108433.92702896241,108433.92702896241
ANN,validation,2020-06-01,6,-79143.06517540291,79143.06517540291
ANN,validation,2020-07-01,7,-633124.8055919656,633124.8055919656
ANN,validation,2020-08-01,8,-196561.61504006758,196561.61504006758
ANN,validation,2020-09-01,9,-201752.0158074312,201752.0158074312
ANN,validation,2020-10-01,10,204707.26355985412,204707.26355985412
ANN,validation,2020-11-01,11,-244660.87446634797,244660.87446634797
ANN,validation,2020-12-01,12,-408491.9065507483,408491.9065507483
