model,split,month,count,mean_residual,mean_absolute_error,rmse
ANN,test,1,3,211564.0895093869,373689.0182718129,392693.12104942685
ANN,test,2,3,-460856.7306420736,460856.7306420736,591575.882067649
ANN,test,3,3,-178069.9255916678,496239.8125156074,500397.48672929365
ANN,test,4,3,9444.890739212744,393912.69582133647,469674.26038980496
ANN,test,5,3,-20557.28930345457,280102.74105718144,308090.41943597054
ANN,test,6,3,-424829.96041795175,424829.96041795175,549497.461760813
ANN,test,7,3,-292824.9538622812,292824.9538622812,316650.4894728364
ANN,test,8,3,-527546.0892649279,527546.0892649279,651813.7896590444
ANN,test,9,3,-351955.5970477476,351955.5970477476,425633.6338902042
ANN,test,10,3,121251.8269370279,279549.7994710089,295258.79640635947
ANN,test,11,3,203254.47975717345,232478.28918293197,276418.7945299107
ANN,test,12,3,-396293.3883909499,396293.3883909499,445872.77079066256
ANN,validation,1,2,351066.91526745446,351066.91526745446,429939.63052413316
ANN,validation,2,2,201878.31622381601,201878.31622381601,223965.73416886365
ANN,validation,3,2,6792.935144790448,198810.92930331733,198926.94533001297
ANN,validation,4,2,-385706.9784622113,385706.9784622113,457304.5121589719
ANN,validation,5,2,39896.80742994556,148330.73445890797,153602.6107467618
ANN,validation,6,2,-83762.05044111353,83762.05044111353,83889.30872873194
ANN,validation,7,2,-355663.70078131673,355663.70078131673,451089.05189131765
ANN,validation,8,2,-42401.647648304,154159.96739176358,159884.94384875812
ANN,validation,9,2,-7327.987977960147,194424.02782947104,194562.07751059832
ANN,validation,10,2,-52825.38033371605,257532.64389357017,262894.6242855
ANN,validation,11,2,-191585.84899595357,191585.84899595357,198801.64955096156
ANN,validation,12,2,-205212.15653154254,205212.15653154254,288850.6291428099
LSTM,test,1,3,548145.3666666666,548145.3666666666,688936.3152836915
LSTM,test,2,3,169224.8999999999,356258.9666666666,397178.7255583016
LSTM,test,3,3,322206.9666666668,462267.0333333332,522784.8532415255
LSTM,test,4,3,534559.1666666666,534559.1666666666,638913.6354762331
LSTM,test,5,3,446078.4333333333,446851.5666666667,588371.9476106843
LSTM,test,6,3,-510391.5,510391.5,572637.6137216362
LSTM,test,7,3,-222385.06666666656,222385.06666666656,244974.41319665744
LSTM,test,8,3,52347.46666666664,262803.6666666668,302243.92070217076
LSTM,test,9,3,-414736.8666666669,414736.8666666669,497043.1781366956
LSTM,test,10,3,219847.1666666665,328190.7666666668,395828.9456771995
LSTM,test,11,3,419249.9333333331,419249.9333333331,511843.8135654141
LSTM,test,12,3,352612.60000000027,352612.60000000027,413368.201797147
LSTM,validation,1,2,449583.8500000001,449583.8500000001,465160.8156379093
LSTM,validation,2,2,332533.7999999998,332533.7999999998,332533.9735102714
LSTM,validation,3,2,159404.0,223918.7000000002,274862.18260373705
LSTM,validation,4,2,-40377.35000000009,128660.3500000001,134847.38060171963
LSTM,validation,5,2,311890.3999999999,311890.3999999999,312750.43830595975
LSTM,validation,6,2,-263043.1499999999,263043.1499999999,269807.74299386767
LSTM,validation,7,2,-332951.0,332951.0,361670.7054952198
LSTM,validation,8,2,106653.1499999999,285817.25,305067.85278440104
LSTM,validation,9,2,-131526.2000000002,251608.8999999999,283912.27491189947
LSTM,validation,10,2,136539.8500000001,136539.8500000001,141796.24118108713
LSTM,validation,11,2,-92939.95000000019,92939.95000000019,106474.49757601599
LSTM,validation,12,2,96808.45000000019,257348.75,274955.0056244931
Random Forest,test,1,3,715767.5080925947,715767.5080925947,815123.6006392317
Random Forest,test,2,3,274167.43708307063,396849.15407248755,475730.3812205847
Random Forest,test,3,3,500409.048337965,517715.1438101853,645685.7587419155
Random Forest,test,4,3,640454.2125879675,640454.2125879675,730198.4316604754
Random Forest,test,5,3,510344.41362963134,510344.41362963134,587312.1477081474
Random Forest,test,6,3,-151667.5961111098,502753.3114444427,550536.7313248127
Random Forest,test,7,3,16478.36073148297,311890.54682407295,345308.9888052424
Random Forest,test,8,3,-156139.58796296097,333975.0684962957,447377.2217971031
Random Forest,test,9,3,-188532.72596295984,385511.1640740729,480038.58801873075
Random Forest,test,10,3,299858.0180222269,505781.80144815036,607755.8187547956
Random Forest,test,11,3,520533.56964524044,520533.56964524044,627555.9184239295
Random Forest,test,12,3,494601.22521799227,494601.22521799227,542894.6225305082
Random Forest,validation,1,2,595276.3368673366,595276.3368673366,614876.6053006297
Random Forest,validation,2,2,461160.8549732184,461160.8549732184,463792.898877188
Random Forest,validation,3,2,332338.6620000021,332338.6620000021,455715.6154490309
Random Forest,validation,4,2,71132.14211111469,93925.04177777795,117820.60564380557
Random Forest,validation,5,2,311006.6802291698,311006.6802291698,331558.36724472407
Random Forest,validation,6,2,75502.14402083447,205740.98275694065,219157.30820014782
Random Forest,validation,7,2,18787.02666666475,356870.1044999992,357364.27333578595
Random Forest,validation,8,2,90525.50090833101,296322.2324083331,309841.4622579787
Random Forest,validation,9,2,144173.72309999936,303705.0239333331,336188.64346503693
Random Forest,validation,10,2,-86734.02718610526,86734.02718610526,92606.68450086746
Random Forest,validation,11,2,-138170.75755039533,138170.75755039533,173311.15351328588
Random Forest,validation,12,2,132909.08630682062,252181.73822348658,285062.19376889145
Seasonal naive,test,1,3,706557.9,706557.9,823022.2339489114
Seasonal naive,test,2,3,406925.8333333333,420242.8333333333,542850.89708497
Seasonal naive,test,3,3,319179.5000000003,427756.7666666666,497703.66702345095
Seasonal naive,test,4,3,645694.3333333334,645694.3333333334,726408.3727108374
Seasonal naive,test,5,3,458649.19999999955,458649.19999999955,536763.0214056164
Seasonal naive,test,6,3,253697.83333333334,315961.6999999999,355005.1722560907
Seasonal naive,test,7,3,320961.9333333331,320961.9333333331,383158.511617781
Seasonal naive,test,8,3,228980.20000000004,335392.6666666668,364827.08927898994
Seasonal naive,test,9,3,161068.06666666674,328290.7333333334,339959.4829768297
Seasonal naive,test,10,3,279383.6666666667,439091.7333333334,492465.2800814897
Seasonal naive,test,11,3,585123.0666666665,585123.0666666665,682454.238635412
Seasonal naive,test,12,3,60584.366666666545,221000.36666666655,239434.60059148367
Seasonal naive,validation,1,2,617799.0500000003,617799.0500000003,632265.5425232386
Seasonal naive,validation,2,2,575323.1499999999,575323.1499999999,575434.6218896852
Seasonal naive,validation,3,2,156772.4500000002,250308.4500000002,295350.50570534857
Seasonal naive,validation,4,2,23703.399999999907,100969.6000000001,103714.56645871888
Seasonal naive,validation,5,2,273111.3499999996,273111.3499999996,290470.90006898245
Seasonal naive,validation,6,2,402141.3500000001,402141.3500000001,414051.5293817245
Seasonal naive,validation,7,2,25684.899999999907,334524.0,335508.59998517175
Seasonal naive,validation,8,2,90262.3999999999,297435.5,310829.8208248526
Seasonal naive,validation,9,2,165610.1000000001,295011.0,338316.70863705507
Seasonal naive,validation,10,2,20655.350000000093,20655.350000000093,20655.376601384054
Seasonal naive,validation,11,2,-6443.200000000186,81288.5,81543.45503159652
Seasonal naive,validation,12,2,-234246.7000000002,253983.0,345512.4900056293
