date,validation,test
2020-01-01,749287.123865623,
2020-02-01,510501.6990000056,
2020-03-01,20525.03833333589,
2020-04-01,165057.18388889264,
2020-05-01,196090.2073333389,
2020-06-01,281243.12677777465,
2020-07-01,-338083.07783333445,
2020-08-01,-205796.7315000021,
2020-09-01,-159531.30083333375,
2020-10-01,-54280.883388883434,
2020-11-01,-242791.96806745883,
2020-12-01,-119272.65191666596,
2021-01-01,441265.5498690503,
2021-02-01,411820.0109464312,
2021-03-01,644152.2856666679,
2021-04-01,-22792.89966666326,
2021-05-01,425923.15312500065,
2021-06-01,-130238.83873610664,
2021-07-01,375657.13116666395,
2021-08-01,386847.7333166646,
2021-09-01,447878.7470333325,
2021-10-01,-119187.17098332709,
2021-11-01,-33549.54703333229,
2021-12-01,385090.8245303072,
2022-01-01,,604451.9023333336
2022-02-01,,240063.1797333341
2022-03-01,,968419.2173333336
2022-04-01,,1134984.297777786
2022-05-01,,473625.90233333455
2022-06-01,,-764799.5843333299
2022-07-01,,-129555.94713888643
2022-08-01,,22962.28100000508
2022-09-01,,-88997.54938888457
2022-10-01,,228395.069227783
2022-11-01,,586606.8219940504
2022-12-01,,708516.2352380995
2023-01-01,,1239251.843944449
2023-02-01,,766461.7070000032
2023-03-01,,558767.0708888918
2023-04-01,,360140.37427778076
2023-05-01,,883266.8098888914
2023-06-01,,526628.5729999994
2023-07-01,,-313562.33199999854
2023-08-01,,-735171.9846888846
2023-09-01,,-772068.2856666646
2023-10-01,,-308885.67513888516
2023-11-01,,62017.69083333481
2023-12-01,,185563.10474920925
2024-01-01,,303598.77800000086
2024-02-01,,-184022.5754841254
2024-03-01,,-25959.143208330497
2024-04-01,,426237.96570833586
2024-05-01,,174140.52866666857
2024-06-01,,-216831.77699999884
2024-07-01,,492553.3613333339
2024-08-01,,243790.93979999702
2024-09-01,,295467.6571666696
2024-10-01,,980064.6599777834
2024-11-01,,912976.1961083361
2024-12-01,,589724.3356666677
