date,validation,test
2020-01-01,752276.0,
2020-02-01,586649.1000000001,
2020-03-01,-93536.0,
2020-04-01,124673.0,
2020-05-01,174199.59999999963,
2020-06-01,303546.2000000002,
2020-07-01,-308839.1000000001,
2020-08-01,-207173.1000000001,
2020-09-01,-129400.8999999999,
2020-10-01,20688.5,
2020-11-01,-87731.70000000019,
2020-12-01,-488229.7000000002,
2021-01-01,483322.10000000056,
2021-02-01,563997.1999999997,
2021-03-01,407080.9000000004,
2021-04-01,-77266.20000000019,
2021-05-01,372023.0999999996,
2021-06-01,500736.5,
2021-07-01,360208.8999999999,
2021-08-01,387697.8999999999,
2021-09-01,460621.1000000001,
2021-10-01,20622.200000000186,
2021-11-01,74845.29999999981,
2021-12-01,19736.299999999814,
2022-01-01,,576747.2000000002
2022-02-01,,381704.8999999999
2022-03-01,,771091.4000000004
2022-04-01,,1113174.9000000004
2022-05-01,,404932.2999999998
2022-06-01,,-93395.79999999981
2022-07-01,,306709.8999999999
2022-08-01,,511276.7000000002
2022-09-01,,451853.1000000001
2022-10-01,,327381.5
2022-11-01,,617690.0
2022-12-01,,322736.0
2023-01-01,,1276016.7000000002
2023-02-01,,859048.1000000001
2023-03-01,,349313.0
2023-04-01,,364854.5
2023-05-01,,823840.3999999994
2023-06-01,,380945.2999999998
2023-07-01,,72083.09999999963
2023-08-01,,-159618.7000000002
2023-09-01,,-250834.0
2023-10-01,,-239562.1000000001
2023-11-01,,139576.6000000001
2023-12-01,,-240624.0
2024-01-01,,266909.7999999998
2024-02-01,,-19975.5
2024-03-01,,-162865.89999999944
2024-04-01,,459053.5999999996
2024-05-01,,147174.89999999944
2024-06-01,,473544.0
2024-07-01,,584092.7999999998
2024-08-01,,335282.6000000001
2024-09-01,,282185.1000000001
2024-10-01,,750331.6000000001
2024-11-01,,998102.5999999996
2024-12-01,,99641.09999999963
