date,area_id,rainfall_mm,population,water_consumption_m3,area_water_usage_m3,residential_water_demand_m3
2010-01-01,DNH_total,41.181,340349,1189305.507,1460378.326,1162751.752
2010-02-01,DNH_total,41.659,340225,1107224.704,1354988.357,1076573.598
2010-03-01,DNH_total,62.456,340855,1238154.708,1503375.082,1230340.84
2010-04-01,DNH_total,102.056,341145,1218165.631,1470925.951,1216254.557
2010-05-01,DNH_total,163.013,341419,1228196.836,1568298.063,1176082.212
2010-06-01,DNH_total,539.288,341493,985009.419,1103250.437,991906.699
2010-07-01,DNH_total,614.493,342001,947840.885,1104136.182,943717.838
2010-08-01,DNH_total,368.568,341939,998176.269,1180097.564,974293.381
2010-09-01,DNH_total,127.83,342580,1018311.085,1245740.471,1003153.452
2010-10-01,DNH_total,64.577,342751,1187633.056,1351535.021,1164933.686
2010-11-01,DNH_total,20.588,343059,1250521.465,1494138.194,1217507.55
2010-12-01,DNH_total,21.02,343312,1260566.989,1447808.74,1234568.461
2011-01-01,DNH_total,45.197,343854,1315048.106,1516919.089,1273007.307
2011-02-01,DNH_total,44.291,344086,1187353.149,1395806.991,1165552.301
2011-03-01,DNH_total,66.003,344362,1202037.78,1374858.731,1208098.512
2011-04-01,DNH_total,111.253,345032,1174116.124,1467432.913,1148699.709
2011-05-01,DNH_total,174.953,345005,1255092.687,1469603.542,1208264.493
2011-06-01,DNH_total,561.432,345030,1046024.461,1220363.385,1031285.997
2011-07-01,DNH_total,634.199,345615,957055.761,1122085.071,950349.795
2011-08-01,DNH_total,400.28,346005,977884.009,1120987.175,965136.795
2011-09-01,DNH_total,135.046,346289,1027116.114,1225756.048,1000779.765
2011-10-01,DNH_total,68.747,346742,1121480.496,1326097.103,1108058.812
2011-11-01,DNH_total,22.24,346844,1221452.057,1389259.451,1202621.94
2011-12-01,DNH_total,22.748,347074,1301429.897,1530236.909,1256662.053
2012-01-01,DNH_total,48.685,347499,1281492.485,1486746.949,1245269.035
2012-02-01,DNH_total,48.057,347886,1240096.026,1461356.147,1218220.934
2012-03-01,DNH_total,75.033,348396,1317339.894,1561209.107,1295381.657
2012-04-01,DNH_total,122.497,348577,1261156.118,1462593.564,1213563.057
2012-05-01,DNH_total,183.129,348629,1208802.086,1404840.423,1199195.251
2012-06-01,DNH_total,578.462,349300,1032620.568,1284634.582,1020822.084
2012-07-01,DNH_total,686.116,349953,1034809.69,1249951.367,1005762.382
2012-08-01,DNH_total,427.623,349897,1030138.623,1212956.479,982055.777
2012-09-01,DNH_total,141.146,349910,1054712.675,1222487.527,1001573.179
