date,area_id,rainfall_mm,population,water_consumption_m3,area_water_usage_m3,residential_water_demand_m3
2010-01-01,zone_01,40.0,85233,373592.039,480059.125,370401.084
2010-01-01,zone_02,42.308,67997,200103.48,243675.879,204952.35
2010-01-01,zone_03,43.321,68044,211168.832,274324.115,204079.775
2010-01-01,zone_04,38.492,67996,163416.432,199107.71,157731.256
2010-01-01,zone_05,42.383,51079,241024.724,263211.497,225587.287
2010-02-01,zone_01,40.294,85115,325050.844,382337.58,325718.201
2010-02-01,zone_02,43.508,67951,184122.261,231046.789,189502.031
2010-02-01,zone_03,40.615,68097,216427.398,267297.658,203938.386
2010-02-01,zone_04,44.256,68037,154827.225,195572.006,146505.004
2010-02-01,zone_05,39.407,51025,226796.976,278734.324,210909.976
2010-03-01,zone_01,57.313,85129,383273.654,491752.339,392562.549
2010-03-01,zone_02,67.41,68155,204293.249,231046.33,203012.672
2010-03-01,zone_03,67.966,68242,221304.226,283171.013,218904.725
2010-03-01,zone_04,62.662,68222,178884.161,230171.197,171725.365
2010-03-01,zone_05,56.785,51107,250399.418,267234.203,244135.529
2010-04-01,zone_01,96.343,85268,395134.151,460959.223,397484.494
2010-04-01,zone_02,109.591,68310,209997.341,256051.959,207105.512
2010-04-01,zone_03,101.266,68321,198835.046,242585.287,201426.611
2010-04-01,zone_04,104.077,68092,158953.452,190723.817,163141.374
2010-04-01,zone_05,99.883,51154,255245.641,320605.665,247096.566
2010-05-01,zone_01,152.811,85265,415901.541,533623.092,408296.39
2010-05-01,zone_02,174.181,68331,211966.734,261081.46,197025.134
2010-05-01,zone_03,166.059,68360,191345.88,247642.967,184154.484
2010-05-01,zone_04,168.856,68253,163726.795,207628.198,153800.067
2010-05-01,zone_05,153.247,51210,245255.886,318322.346,232806.137
2010-06-01,zone_01,515.921,85267,331361.193,357096.581,339083.758
2010-06-01,zone_02,549.536,68293,157397.792,175740.565,165087.679
2010-06-01,zone_03,544.212,68335,171205.266,205485.405,161075.434
2010-06-01,zone_04,606.187,68318,130529.315,150753.815,129466.147
2010-06-01,zone_05,468.808,51280,194515.853,214174.071,197193.681
2010-07-01,zone_01,565.966,85380,289791.597,330490.782,298295.744
2010-07-01,zone_02,629.772,68465,179756.393,221104.137,175959.213
2010-07-01,zone_03,659.748,68399,159358.89,187680.558,157269.168
2010-07-01,zone_04,635.024,68322,132788.483,166082.641,135383.468
2010-07-01,zone_05,587.257,51435,186145.522,198778.064,176810.245
2010-08-01,zone_01,365.483,85305,312388.628,394054.516,298299.68
2010-08-01,zone_02,359.723,68432,178730.963,214397.882,169164.846
2010-08-01,zone_03,374.516,68613,165517.627,187506.092,173189.933
2010-08-01,zone_04,403.441,68202,146190.751,168487.498,141563.259
